<<<<<<<<<<<<<<<<<<<<<<<<
Xf$Name                Xe$Offset   Xe$Name                Xe$DataType   Xe$Size
Order_Line                   137   Mixing_Yield                     2         8
Order_Line                   145   Process_Type                    14         1
Order_Line                   146   Fixed_Weight                     2         8
Order_Line                   154   Reserved                         0        13
Order_Line                   316   NN_FileRef                     227         0
Order_Line                   318   NN_Order_No                    227         0
Order_Line                   320   NN_Order_No_Suffix             227         0
Order_Line                   322   NN_Line_No                     227         0
Order_Line                   324   NN_Ingredient                  227         0
Order_Line                   327   NN_Final_Percent               227         0
Order_Line                   329   NN_Container_Wt                227         0
Order_Line                   331   NN_Reserved1                   227         0
Order_Line                   333   NN_Reserved2                   227         0
Order_Line                   335   NN_Tol_NegPercent              227         0
Order_Line                   337   NN_Tol_PosPercent              227         0
Order_Line                   339   NN_Spec_Instruct1              227         0
Order_Line                   341   NN_Spec_Instruct2              227         0
Order_Line                   343   NN_Tot_Weight_Done             227         0
Order_Line                   345   NN_Tot_Trans_Done              227         0
Order_Line                   347   NN_Mixing_Yield                227         0
Order_Line                   349   NN_Process_Type                227         0
Order_Line                   351   NN_Fixed_Weight                227         0
Order_Line                   353   NN_Reserved                    227         0
Prod_Header                    0   Product_Code                    10        11
Prod_Header                   11   Description                     10        31
Prod_Header                   42   Updates                          1         4
Prod_Header                   46   No_Of_Methods                    1         2
Prod_Header                   48   Case_Weight                      2         8
Prod_Header                   56   Reserved                         0        56
Prod_Header                  226   NN_Product_Code                227         0
Prod_Header                  228   NN_Description                 227         0
Prod_Header                  230   NN_Updates                     227         0
Prod_Header                  232   NN_No_Of_Methods               227         0
Prod_Header                  234   NN_Case_Weight                 227         0
Prod_Header                  236   NN_Reserved                    227         0
Prod_Instructions              0   Product_Code                    10        11
Prod_Instructions             11   Method_Line_No                   1         2
Prod_Instructions             13   Product_Method                   1         2
Prod_Instructions             15   Description                     10        41
Prod_Instructions             56   Reserved                         0        64
Prod_Instructions            215   NN_Product_Code                227         0
Prod_Instructions            217   NN_Method_Line_No              227         0
Prod_Instructions            219   NN_Product_Method              227         0
Prod_Instructions            221   NN_Description                 227         0
Prod_Instructions            223   NN_Reserved                    227         0
Prod_Line                      0   Product_Code                    10        11
Prod_Line                     11   Line_No                          1         2
